file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output_COI.txt	C	MIA19	1	1	1.98306	1	9
output_COI.txt	C	MIM4	2	2	1.84791	2	10
output_COI.txt	C	MJC7	1	1	1.88013	1	7
output_COI.txt	C	MKA6	2	2	1.80807	2	8
output_COI.txt	C	MKK54	1	1	2.08891	1	9.02499999999998
output_COI.txt	C	MMK17	2	2	2.26323	2	13
output_COI.txt	C	MMO8	1	1	1.91591	1	7
output_COI.txt	C	MMS43	1	1	1.83159	1	7
output_COI.txt	C	MNK16	1	1	1.83005	1	6.02499999999998
output_COI.txt	C	MOA2	1	1	1.99155	1	9
output_COI.txt	C	MOS14	1	1	1.85397	1	7.02499999999998
output_COI.txt	C	MqTZ0096	2	2	2.08451	2	12
output_COI.txt	C	MqTZ0116	2	2	2.30935	2	14
output_COI.txt	C	MqTZ0121	2	2	1.77082	2	8
output_COI.txt	C	MqTZ0123	3	3	2.80733	2	15
output_COI.txt	C	MqTZ0140	1	1	1.75627	1	6.02499999999998
output_COI.txt	C	MqTZ0153	1	1	1.83152	1	6
output_COI.txt	C	MqTZ0162	4	3	2.82956	3	15.025
output_COI.txt	C	MqTZ0167	3	2	2.535	2	14
output_COI.txt	C	MqTZ0178	6	5	3.57386	5	21
output_COI.txt	C	MqTZ0187	2	2	2.03804	2	11
output_COI.txt	C	MqTZ0189	2	2	2.27575	2	13
output_COI.txt	C	MqTZ0191	2	2	2.26205	2	13
output_COI.txt	C	MqTZ0202	3	2	2.54569	2	15
output_COI.txt	C	MqTZ0216	1	1	2.01217	1	8
output_COI.txt	C	MqTZ0235	4	3	2.36281	3	15
output_COI.txt	C	MqTZ0260	4	3	2.69069	3	16
output_COI.txt	C	MqTZ0302	3	2	2.24915	2	13
output_COI.txt	C	MqTZ0354	2	2	2.05009	2	12
output_COI.txt	C	MqTZ0362	4	3	3.15994	3	17
output_COI.txt	C	MqTZ0366	1	1	1.95906	1	7
output_COI.txt	C	MqTZ0367	3	2	2.78082	2	15
output_COI.txt	C	MqTZ0385	1	1	2.04482	1	10
output_COI.txt	C	MqTZ0406	1	1	1.79506	1	7
output_COI.txt	C	MqTZ0425	2	2	2.21221	2	13
output_COI.txt	C	MqTZ0437	3	2	2.40151	2	13.025
output_COI.txt	C	MqTZ0440	2	2	2.28105	2	13
output_COI.txt	C	MqTZ0451	5	4	3.82701	4	22
output_COI.txt	C	MqTZ0454	2	2	2.2793	2	13
output_COI.txt	C	MqTZ0455	4	3	2.45821	3	15
output_COI.txt	C	MqTZ0475	2	2	1.85783	2	8.02499999999998
output_COI.txt	C	MqTZ0489	3	2	2.30289	2	13
output_COI.txt	C	MqTZ0494	3	2	2.45729	2	14
output_COI.txt	C	MqTZ0499	1	1	1.83997	1	8
output_COI.txt	C	MqTZ0518	1	1	1.78862	1	6.02499999999998
output_COI.txt	C	MR16	8	7	3.33662	7	22
output_COI.txt	C	MRI5	1	1	1.95548	1	8
output_COI.txt	C	MSF15	1	1	1.93806	1	7
output_COI.txt	C	MUM12	1	1	1.92008	1	7.02499999999998
output_COI.txt	C	NAJ16	2	2	2.24826	2	13
output_COI.txt	C	NHA13	1	1	1.76547	1	7
output_COI.txt	C	OCO31	1	1	2.07849	1	9.02499999999998
output_COI.txt	C	OHO27	2	2	1.95479	2	11
output_COI.txt	C	OKM10	4	3	2.78116	3	15
output_COI.txt	C	PAS21	2	2	2.22583	2	13
output_COI.txt	C	PST66	1	1	1.93574	1	7
output_COI.txt	C	RAA55	1	1	1.90329	1	7
output_COI.txt	C	RJS39	3	2	2.30288	2	13
output_COI.txt	C	RLK59	3	2	2.54796	2	14
output_COI.txt	C	RMR27	1	1	1.85602	1	7.02499999999998
output_COI.txt	C	SAJ28	1	1	1.85579	1	6.02499999999998
output_COI.txt	C	SDS22	3	3	2.62543	2	15
output_COI.txt	C	SIS25	5	4	3.53452	3	20
output_COI.txt	C	SJH27	3	2	2.47993	2	14.025
output_COI.txt	C	SJH29	2	2	1.86596	2	10
output_COI.txt	C	SKA09	1	1	1.97672	1	8
output_COI.txt	C	SKM23	1	1	1.90954	1	8
output_COI.txt	C	SOA1	1	1	1.75459	1	7
output_COI.txt	C	SSA22	1	1	1.84622	1	7
output_COI.txt	C	STK32	1	1	2.09211	1	11
output_COI.txt	C	TAS26	1	1	1.96604	1	8
output_COI.txt	C	TJK44	1	1	1.88483	1	7
output_COI.txt	C	TRK4	1	1	1.90499	1	7
output_COI.txt	C	UJM29	1	1	1.89322	1	8
output_COI.txt	C	WSA41	1	1	1.91484	1	7.02499999999998
output_COI.txt	C	YAK23	1	1	2.18201	1	11
output_COI.txt	C	YB5001	1	1	2.10429	1	9.02499999999998
output_COI.txt	C	YB5002	1	1	1.90935	1	8
output_COI.txt	C	YB5003	1	1	1.82862	1	8
output_COI.txt	C	YB5008	1	1	1.93139	1	8
output_COI.txt	C	YB5016	1	1	1.92413	1	8
output_COI.txt	C	YB5019	1	1	2.19859	1	10
output_COI.txt	C	YB5020	3	2	2.50909	2	14
output_COI.txt	C	YB5021	1	1	2.04117	1	9
output_COI.txt	C	YB5022	1	1	1.86465	1	7
output_COI.txt	C	YB5025	3	2	2.30147	2	13
output_COI.txt	C	YB5026	3	2	2.35346	2	14
output_COI.txt	C	YB5027	2	2	2.27876	2	13
output_COI.txt	C	YB5029	1	1	1.97187	1	10
output_COI.txt	C	YB5031	1	1	2.01248	1	8
output_COI.txt	C	YB5035	3	2	2.6399	2	15
output_COI.txt	C	YB5036	1	1	1.82765	1	8
output_COI.txt	C	YB5037	2	2	1.89558	2	10
output_COI.txt	C	YB5040	2	2	1.83296	2	10
output_COI.txt	C	YB5049	1	1	1.93461	1	7.02499999999998
output_COI.txt	C	YB5053	1	1	1.9512	1	8.02499999999998
output_COI.txt	C	YB5054	1	1	1.80897	1	8
output_COI.txt	C	YB5055	1	1	1.9088	1	8
output_COI.txt	C	YB5056	4	3	2.49725	3	15
output_COI.txt	C	YB5058	2	2	1.93226	2	10
output_COI.txt	C	YB5059	1	1	2.10219	1	9.02499999999998
output_COI.txt	C	YB5060	3	2	2.27225	2	13
output_COI.txt	C	YB5062	1	1	1.83934	1	6
output_COI.txt	C	YB5066	1	1	1.89396	1	8
output_COI.txt	C	YB5067	1	1	1.7033	1	7
output_COI.txt	C	YB5070	2	2	2.09443	2	12
output_COI.txt	C	YB5071	1	1	1.88503	1	6
output_COI.txt	C	YB5072	1	1	1.81569	1	6
output_COI.txt	C	YB5073	1	1	2.23519	1	11.025
output_COI.txt	C	YB5074	1	1	2.02423	1	8
output_COI.txt	C	YB5075	2	2	2.07199	2	11
output_COI.txt	C	YB5076	1	1	1.93815	1	7.02499999999998
output_COI.txt	C	YB5077	1	1	2.01834	1	8.02499999999998
output_COI.txt	C	YB5078	3	2	2.44931	2	13
output_COI.txt	C	YB5079	2	2	2.2354	2	13
output_COI.txt	C	YB5080	1	1	1.99815	1	7.02499999999998
output_COI.txt	C	YB5082	1	1	1.91612	1	7.02499999999998
output_COI.txt	C	YB5083	4	3	3.1548	3	17.025
output_COI.txt	C	YB5084	1	1	1.80875	1	7
output_COI.txt	C	YB5085	1	1	2.02916	1	9.02499999999998
output_COI.txt	C	YB5086	2	2	1.81514	2	9
output_COI.txt	C	YB5099	1	1	1.93779	1	7
output_COI.txt	C	YB5135	1	1	1.87134	1	7
output_COI.txt	C	YB5137	1	1	2.04468	1	9
output_COI.txt	C	YB5236	1	1	1.79756	1	7
output_COI.txt	C	YB5237	2	2	1.97011	2	11
output_COI.txt	C	YB5238	1	1	1.72955	1	7
output_COI.txt	C	YB5240	1	1	1.89324	1	7.02499999999998
output_COI.txt	C	YB5244	2	2	2.18768	2	13
output_COI.txt	C	YB5245	1	1	1.84423	1	7
output_COI.txt	C	YB5246	2	2	1.95753	2	10
output_COI.txt	C	YB5249	3	2	2.42972	2	13
output_COI.txt	C	YB5250	2	2	1.82546	2	10
output_COI.txt	C	YB5251	4	3	2.95198	3	16
output_COI.txt	C	YB5253	3	2	2.40855	2	14
output_COI.txt	C	YB5255	4	3	2.94127	3	16.025
output_COI.txt	C	YB5256	5	4	3.49285	4	20
output_COI.txt	C	YB5258	4	3	3.06632	3	16
output_COI.txt	C	YB5259	2	2	1.85982	2	9
output_COI.txt	C	YB5260	3	2	2.28452	2	13
output_COI.txt	C	YB5261	4	3	3.07121	3	17
output_COI.txt	C	YB5262	1	1	1.87964	1	7.02499999999998
output_COI.txt	C	YB5263	1	1	2.06593	1	8.02499999999998
output_COI.txt	C	YB5265	2	2	2.00484	2	11
output_COI.txt	C	YB5266	2	2	1.91994	1	9
output_COI.txt	C	YB5268	2	2	1.93212	2	11
output_COI.txt	C	YB5272	2	2	1.8718	2	9
output_COI.txt	C	YB5280	1	1	1.89165	1	7
output_COI.txt	C	YB5285	2	2	2.20467	2	12.025
output_COI.txt	C	YB5291	2	2	2.08586	2	11
output_COI.txt	C	YB5292	1	1	1.78089	1	6
output_COI.txt	C	YB5294	1	1	1.90601	1	7
output_COI.txt	C	YB5295	2	2	1.93516	2	10
output_COI.txt	C	YB5296	1	1	1.9584	1	7
output_COI.txt	C	YB5297	1	1	1.96761	1	9
output_COI.txt	C	YB5298	2	2	2.29066	2	13
output_COI.txt	C	YB5299	2	2	2.07868	2	12
output_COI.txt	C	YB5300	1	1	2.01398	1	8.02499999999998
output_COI.txt	C	YB5304	3	3	2.44314	2	14
output_COI.txt	C	YB5311	1	1	1.91657	1	7
output_COI.txt	C	YB5312	2	2	1.82864	2	9.02499999999998
output_COI.txt	C	YB5322	3	2	2.34276	2	13
output_COI.txt	C	YB5325	1	1	1.77159	1	7
output_COI.txt	C	YB5326	1	1	1.74722	1	7
output_COI.txt	C	YB5331	1	1	1.82224	1	8
output_COI.txt	C	YB5340	1	1	2.03067	1	9
output_COI.txt	C	YB5388	2	2	1.80393	2	9
output_COI.txt	C	YB5419	1	1	1.92839	1	7
output_COI.txt	C	YB5423	1	1	1.96684	1	8.02499999999998
output_COI.txt	C	YB5424	1	1	1.93845	1	9
output_COI.txt	C	YB5430	1	1	1.99703	1	9.02499999999998
output_COI.txt	C	YB5431	2	2	1.77612	2	9
output_COI.txt	C	YB5432	1	1	2.0673	1	9.02499999999998
output_COI.txt	C	YB5433	2	2	2.11063	2	12
output_COI.txt	C	YB5434	1	1	1.81994	1	7
output_COI.txt	C	YB5435	1	1	2.05683	1	10
output_COI.txt	C	YB5437	3	2	2.83753	2	15
output_COI.txt	C	YB5439	2	2	1.83087	2	9
output_COI.txt	C	YB5446	2	2	1.84763	2	10
output_COI.txt	C	YB5454	1	1	2.25112	1	11
output_COI.txt	C	YB5460	2	2	2.08755	2	12
output_COI.txt	C	YB5461	2	2	1.93751	2	11
output_COI.txt	C	YB5465	2	2	1.9491	2	11
output_COI.txt	C	YB5466	2	2	1.91998	2	10
output_COI.txt	C	YB5467	1	1	2.00707	1	8
output_COI.txt	C	YB5468	1	1	1.90789	1	7
output_COI.txt	C	YHH36	1	1	1.97289	1	9
output_COI.txt	C	YMJ5	3	2	2.33568	2	14
output_COI.txt	C	ZIA50	2	2	2.22462	2	13
output_COI.txt	C	ZOA34	3	2	2.40181	2	14
output_COI.txt	P	chr1|100608	0.335733019	0.346752	0.06278	0.059669	0.396461
output_COI.txt	P	chr1|138823	0.487511985	0.505829	0.08714	0.09118	0.555163
output_COI.txt	P	chr1|140820	0.384319476	0.396375	0.07368	0.05487075	0.448949
output_COI.txt	P	chr1|155939	0.801176418	0.825541	0.12005	0.23979	0.863317
output_COI.txt	P	chr1|182927	0.168598087	0.173261	0.03626	0.01855	0.214464
output_COI.txt	P	chr1|239376	0.118217756	0.122534	0.02724	0.014212	0.158252
output_COI.txt	P	chr1|244080	0.146647649	0.150426	0.03257	0.02125	0.18804
output_COI.txt	P	chr1|308385	0.127207495	0.128402	0.02878	0.02604	0.163849125
output_COI.txt	P	chr1|349253	0.215200889	0.223461	0.04577	0.02664	0.2675935
output_COI.txt	P	chr1|455877	0.205884396	0.213867	0.04465	0.024369	0.263049
output_COI.txt	P	chr1|472576	0.803767375	0.828936	0.1236	0.239846125	0.873039
output_COI.txt	P	chr1|472583	0.805547375	0.828385	0.12551	0.194734225	0.86330745
output_COI.txt	P	chr1|480434	0.210622025	0.219397	0.04354	0.041694	0.262564
output_COI.txt	P	chr1|487057	0.629424336	0.647762	0.10227	0.16567545	0.693782675
output_COI.txt	P	chr1|497883	0.606820652	0.625679	0.10414	0.137782	0.6731765
output_COI.txt	P	chr1|498090	0.660073928	0.679484	0.11125	0.115398	0.732505
output_COI.txt	P	chr1|532656	0.265220511	0.274414	0.0514	0.045363	0.3209833
output_COI.txt	P	chr1|536003	0.349141771	0.363364	0.07044	0.048383	0.411711
output_COI.txt	P	chr1|537427	0.507175499	0.522786	0.0883	0.089099375	0.5694207
output_COI.txt	P	chr10|92927	0.09362341	0.093481	0.01932	0.04101	0.1230616
output_COI.txt	P	chr10|93086	0.048969235	0.051308	0.01346	0.003529	0.069211675
output_COI.txt	P	chr10|112973	0.389483198	0.403091	0.07153	0.079563	0.457983
output_COI.txt	P	chr10|113505	0.143089776	0.148859	0.02992	0.034089	0.188983
output_COI.txt	P	chr10|113582	0.210706563	0.2171435	0.04243	0.031321	0.256424
output_COI.txt	P	chr10|113618	0.19957032	0.206975	0.04066	0.042691	0.244826
output_COI.txt	P	chr10|113768	0.35472552	0.365966	0.06541	0.066157	0.423462975
output_COI.txt	P	chr10|115507	0.466832551	0.483583	0.07961	0.086782	0.530974
output_COI.txt	P	chr10|122738	0.134589409	0.138209	0.03052	0.035548	0.17642955
output_COI.txt	P	chr10|129644	0.11514751	0.118625	0.02536	0.026415	0.15170535
output_COI.txt	P	chr10|146075	0.05529831	0.055483	0.0139	0.016025	0.079689
output_COI.txt	P	chr10|189952	0.10706017	0.110258	0.02335	0.02323	0.142331
output_COI.txt	P	chr10|222495	0.531627205	0.549223	0.09573	0.119369	0.6049915
output_COI.txt	P	chr10|223211	0.400916857	0.415244	0.07243	0.084806	0.464176
output_COI.txt	P	chr10|225629	0.310943975	0.322268	0.06105	0.045065	0.369733325
output_COI.txt	P	chr10|238016	0.064434972	0.064185	0.01872	0.004477	0.097322
output_COI.txt	P	chr10|317581	0.548974165	0.563871	0.09384	0.093241325	0.628526725
output_COI.txt	P	chr10|325616	0.818089744	0.836935	0.11336	0.23209165	0.880187
output_COI.txt	P	chr10|334542	0.194310988	0.199473	0.03602	0.077635	0.24077595
output_COI.txt	P	chr10|341106	0.379267388	0.393029	0.07243	0.058254	0.443811
output_COI.txt	P	chr10|361684	0.215408546	0.221477	0.04199	0.042908	0.269884
output_COI.txt	P	chr10|375664	0.022077973	0.020293	0.01235	0.008272	0.037715
output_COI.txt	P	chr10|382041	0.92941109	0.943953	0.10218	0.8508494	0.969895
output_COI.txt	P	chr10|414789	0.570180075	0.586804	0.09596	0.119701325	0.64026
output_COI.txt	P	chr10|424305	0.071495252	0.070734	0.01911	0.014761	0.102433
output_COI.txt	P	chr10|454626	0.965556341	0.982469	0.09945	0.789148	0.992556
output_COI.txt	P	chr10|464500	0.219932352	0.227325	0.04555	0.026137	0.272051
output_COI.txt	P	chr10|561234	0.776662901	0.796513	0.11508	0.222119	0.837424675
output_COI.txt	P	chr10|574773	0.237192891	0.245439	0.04837	0.033542	0.294726125
output_COI.txt	P	chr10|595511	0.279955463	0.290645	0.05608	0.053288	0.331748375
output_COI.txt	P	chr10|638138	0.059366708	0.058649	0.0149	0.01807	0.090533
output_COI.txt	P	chr10|638636	0.040015362	0.039723	0.01234	0.0138641	0.064518
output_COI.txt	P	chr10|638837	0.033616533	0.034107	0.01086	0.006048	0.055493
output_COI.txt	P	chr10|653138	0.525560576	0.5470095	0.09795	0.104137	0.59629285
output_COI.txt	P	chr10|658448	0.165664905	0.170329	0.03251	0.030289	0.206932775
output_COI.txt	P	chr10|661961	0.202664615	0.2092885	0.04226	0.031492	0.2480101
output_COI.txt	P	chr10|662320	0.797857243	0.81866	0.1182	0.227763	0.857907
output_COI.txt	P	chr10|663199	0.716534121	0.739931	0.11254	0.192526	0.782646825
output_COI.txt	P	chr10|669306	0.687012226	0.712771	0.11485	0.155531	0.756819525
output_COI.txt	P	chr10|669908	0.639344769	0.658622	0.10464	0.121502	0.70588805
output_COI.txt	P	chr10|699403	0.064761978	0.065524	0.01492	0.023455	0.090088
output_COI.txt	P	chr10|716468	0.237275422	0.246596	0.05065	0.0475097	0.290997
output_COI.txt	P	chr10|735409	0.041981045	0.043133	0.01504	0.002454	0.067035
output_COI.txt	P	chr10|754119	0.134778881	0.137072	0.02615	0.058449	0.172777
output_COI.txt	P	chr10|759927	0.135408709	0.137133	0.03093	0.024085	0.1792187
output_COI.txt	P	chr10|797801	0.461542847	0.478076	0.08547	0.068673	0.532414
output_COI.txt	P	chr10|797802	0.212670421	0.220564	0.04538	0.045918	0.262142
output_COI.txt	P	chr10|883159	0.444312642	0.458262	0.07936	0.104101	0.507778
output_COI.txt	P	chr10|964859	0.057264933	0.057878	0.01534	0.00638	0.080193
output_COI.txt	P	chr10|992490	0.450486901	0.46559	0.08003	0.084512	0.519567
output_COI.txt	P	chr10|1041222	0.0689189	0.07002	0.01669	0.015778	0.092012
output_COI.txt	P	chr10|1063886	0.094157873	0.094668	0.02155	0.013551	0.126753
output_COI.txt	P	chr10|1065121	0.021708956	0.020426	0.0095	0.004594	0.037966
output_COI.txt	P	chr10|1074462	0.723522297	0.746859	0.11791	0.168099575	0.787245
output_COI.txt	P	chr10|1128179	0.148127643	0.153828	0.03293	0.021336	0.187436
output_COI.txt	P	chr10|1268080	0.246529666	0.2549325	0.0498	0.033146	0.29773345
output_COI.txt	P	chr10|1339970	0.35187554	0.365144	0.06619	0.066659175	0.411522
output_COI.txt	P	chr10|1341720	0.247735338	0.253069	0.05105	0.052532	0.302504
output_COI.txt	P	chr10|1385894	0.325995897	0.335195	0.06308	0.058275	0.384795
output_COI.txt	P	chr10|1387021	0.579226287	0.596038	0.0971	0.114608	0.646926
output_COI.txt	P	chr10|1392773	0.832311385	0.858268	0.1304	0.224392	0.892163525
output_COI.txt	P	chr10|1399269	0.328196359	0.341349	0.06216	0.07235635	0.386695575
output_COI.txt	P	chr10|1414588	0.125488422	0.130118	0.02815	0.024481	0.16331255
output_COI.txt	P	chr10|1463519	0.044265067	0.046245	0.01345	0.00435	0.068839
output_COI.txt	P	chr10|1498888	0.10497282	0.108453	0.02319	0.026992	0.138536
output_COI.txt	P	chr10|1519673	0.242470861	0.2500885	0.04928	0.047977	0.294761
output_COI.txt	P	chr10|1554604	0.464641619	0.480977	0.08294	0.099232	0.532608
output_COI.txt	P	chr11|241970	0.536512892	0.550884	0.09015	0.109032	0.607807
output_COI.txt	P	chr11|256962	0.042065823	0.041664	0.01101	0.019873	0.063508
output_COI.txt	P	chr11|265114	0.211315412	0.2180515	0.04409	0.050031	0.261666
output_COI.txt	P	chr11|306911	0.310190461	0.3209395	0.05708	0.055382	0.369116
output_COI.txt	P	chr11|324013	0.130290077	0.136372	0.02956	0.031296	0.168743
output_COI.txt	P	chr11|324903	0.059136339	0.061076	0.01684	0.007621	0.085251
output_COI.txt	P	chr11|325228	0.06394404	0.064444	0.01495	0.018459	0.088843
output_COI.txt	P	chr11|354078	0.493945688	0.511118	0.0872	0.095653	0.560038325
output_COI.txt	P	chr11|391633	0.167812958	0.171586	0.03465	0.0340609	0.221924
output_COI.txt	P	chr11|408413	0.125955514	0.127245	0.02685	0.029464	0.167836325
output_COI.txt	P	chr11|408965	0.413978531	0.428974	0.0768	0.08225365	0.475472
output_COI.txt	P	chr11|418011	0.074780358	0.0770925	0.01822	0.01361	0.101762
output_COI.txt	P	chr11|433376	0.132984148	0.137911	0.03014	0.026456	0.176765675
output_COI.txt	P	chr11|458037	0.129387285	0.13298	0.02644	0.034141	0.17010595
output_COI.txt	P	chr11|529804	0.123218084	0.126893	0.02784	0.020624	0.159639
output_COI.txt	P	chr11|552427	0.119426121	0.120591	0.0273	0.024126	0.159758
output_COI.txt	P	chr11|571361	0.079425511	0.082791	0.01869	0.01313	0.109359
output_COI.txt	P	chr11|584694	0.468391642	0.479016	0.08448	0.079302	0.541603
output_COI.txt	P	chr11|604547	0.080678186	0.082847	0.019	0.011541	0.114891325
output_COI.txt	P	chr11|637436	0.384282313	0.39524	0.07242	0.079115	0.4533384
output_COI.txt	P	chr11|644562	0.308163491	0.320036	0.0591	0.065744	0.368069
output_COI.txt	P	chr11|659205	0.196697876	0.205236	0.04214	0.02369	0.245049
output_COI.txt	P	chr11|659208	0.032737613	0.032832	0.01144	0.00121	0.052515
output_COI.txt	P	chr11|683965	0.214346858	0.221243	0.04176	0.040678	0.266367
output_COI.txt	P	chr11|694933	0.457434848	0.474098	0.08566	0.06225	0.520447875
output_COI.txt	P	chr11|706213	0.299368702	0.310176	0.0603	0.044757	0.3569119
output_COI.txt	P	chr11|719742	0.120423036	0.124124	0.02444	0.038788	0.15591
output_COI.txt	P	chr11|740730	0.132898423	0.138125	0.03094	0.011439	0.1718996
output_COI.txt	P	chr11|767389	0.143067556	0.146513	0.03072	0.026248	0.191175925
output_COI.txt	P	chr11|812065	0.202840993	0.20814	0.0395	0.045185	0.249667
output_COI.txt	P	chr11|865260	0.183295673	0.190862	0.03948	0.036437	0.2285862
output_COI.txt	P	chr11|888290	0.081022985	0.083704	0.0213	0.006077	0.112618
output_COI.txt	P	chr11|897536	0.117094812	0.118487	0.02383	0.040197	0.1515569
output_COI.txt	P	chr11|902534	0.182732712	0.189589	0.03846	0.035331	0.227272
output_COI.txt	P	chr11|987161	0.050410667	0.051742	0.01472	0.002264	0.0716894249999999
output_COI.txt	P	chr11|987190	0.970788211	0.984138	0.08717	0.959515625	0.991738
output_COI.txt	P	chr11|1005477	0.153252312	0.157688	0.03251	0.023008	0.194319
output_COI.txt	P	chr11|1006055	0.459886198	0.475102	0.08044	0.089201	0.524927375
output_COI.txt	P	chr11|1006753	0.541989892	0.557425	0.09266	0.099924	0.6094735
output_COI.txt	P	chr11|1006784	0.581210513	0.5978585	0.09397	0.125308025	0.651758
output_COI.txt	P	chr11|1009859	0.897527289	0.91097	0.08963	0.86538015	0.935232
output_COI.txt	P	chr11|1018965	0.319886314	0.3305165	0.06114	0.052832	0.385065
output_COI.txt	P	chr11|1019739	0.067588009	0.067704	0.01545	0.021007	0.0932281
